Title,Channel,Duration,URL
Introduction | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (1/30),Analytics with Nags,3 minutes 55 seconds,https://www.youtube.com/watch?v=t52xNJTBicc
Why We Need Data Warehouse | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (2/30),Analytics with Nags,11 minutes 11 seconds,https://www.youtube.com/watch?v=oeLir_TyTkE
Modern DW Architecture | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (3/30),Analytics with Nags,12 minutes 16 seconds,https://www.youtube.com/watch?v=AuyqbpwImnM
OLTP vs OLAP | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (4/30),Analytics with Nags,8 minutes 41 seconds,https://www.youtube.com/watch?v=Wg4OVJ4C7Ek
What is ETL | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (5/30),Analytics with Nags,5 minutes 50 seconds,https://www.youtube.com/watch?v=BH5SvngiDIE
ETL vs ELT | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (6/30),Analytics with Nags,6 minutes 4 seconds,https://www.youtube.com/watch?v=dfACzp0AyWE
What is Staging Area | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (7/30),Analytics with Nags,6 minutes 21 seconds,https://www.youtube.com/watch?v=jjBXmyUbl0Q
What is ODS | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (8/30),Analytics with Nags,10 minutes 20 seconds,https://www.youtube.com/watch?v=1D0MEqfcqQo
What is Dimensional Modelling | Data Warehouse Tutorial Beginners | Data Warehouse Concepts (9/30),Analytics with Nags,7 minutes 25 seconds,https://www.youtube.com/watch?v=j-KVIKb1F58
What is Star Schema | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (10/30),Analytics with Nags,12 minutes 28 seconds,https://www.youtube.com/watch?v=Re0I6zYCKjw
What is Data Mart | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (11/30),Analytics with Nags,3 minutes 33 seconds,https://www.youtube.com/watch?v=1BTW0gEVQ2U
What is Granularity & Cardinality | Data Warehouse Tutorial | Data Warehouse Concepts (15/30),Analytics with Nags,6 minutes 31 seconds,https://www.youtube.com/watch?v=ta1mOdjYYhU
What is SCD / Slowly Changing Dimension | Data Warehouse Tutorial | Data Warehouse Concepts (14/30),Analytics with Nags,9 minutes 49 seconds,https://www.youtube.com/watch?v=b4yRyAAyhBo
What is Surrogate Key | Data Warehouse Tutorial For Beginners | Data Warehouse Concepts (13/30),Analytics with Nags,5 minutes 41 seconds,https://www.youtube.com/watch?v=YO58bvr6o-E
What are Types Of Dimension | Data Warehouse Tutorial | Data Warehouse Concepts (12/30),Analytics with Nags,10 minutes 59 seconds,https://www.youtube.com/watch?v=tgzQ3IpRZEA
What is Unknowns Not Available Not Applicable in Dimension | Data Warehouse Tutorial (16/30),Analytics with Nags,12 minutes,https://www.youtube.com/watch?v=U9EINeSv3_Y
