Title,Channel,Duration,URL
"[[ 8.5 HOURS ]] Complete SQL End to End - SQL Server Tutorial { End to End } Full Course Beginners","Analytics with Nags","8 hours 29 minutes 20 seconds","https://www.youtube.com/watch?v=wI4HWGlI6gM"
"[[ 4 HOURS ]] SSIS Complete Tutorial  - { End to End } Full Course - SQL Server Integration Services","Analytics with Nags","4 hours 11 minutes 40 seconds","https://www.youtube.com/watch?v=G_wG-bzTCZY"
"[[ 3.1 HOURS ]] SSAS Complete Tutorial - End to End - SQL Server Analysis Service","Analytics with Nags","3 hours 5 minutes 55 seconds","https://www.youtube.com/watch?v=RWtfutxe4zc"
"[[ 3 HOURS ]] Data Warehouse Complete Tutorial - SQL + SSIS + SSAS + Power BI - { End to End }","Analytics with Nags","3 hours 5 minutes 30 seconds","https://www.youtube.com/watch?v=eNxbMwUGl1g"
"[[ 2.5 HOURS ]] Power BI Complete Tutorial - Beginner to Pro - End to End","Analytics with Nags","2 hours 27 minutes 41 seconds","https://www.youtube.com/watch?v=weAmHoAKjCc"
"[[ 3 HOURS ]] Complete Power BI DAX End to End  - Power BI DAX Tutorial - { End to End } Full Course","Analytics with Nags","2 hours 57 minutes 19 seconds","https://www.youtube.com/watch?v=yTOSOgUGKe4"
"[[ 3 HOURS ]] Complete Power Query End to End - PowerBI Tutorial { End to End } Full Course Beginner","Analytics with Nags","2 hours 47 minutes 1 seconds","https://www.youtube.com/watch?v=VO-MyVMKUC4"
"[[ 4.5 HOURS ]] Complete Power BI Services - { End to End } Full Course - Deployment & more","Analytics with Nags","4 hours 18 minutes 21 seconds","https://www.youtube.com/watch?v=fmmQ4bhLfbo"
"[[ 3 HOURS ]] Complete Power BI Paginated Reports- { End to End } Full Course - SSRS Tutorial","Analytics with Nags","3 hours 1 minutes 29 seconds","https://www.youtube.com/watch?v=JcH1BxOAejY"
"[[ 4.5 HOURS ]] Complete Power BI Visuals / Charts / Dashboards - { End to End } Full Course","Analytics with Nags","4 hours 28 minutes 30 seconds","https://www.youtube.com/watch?v=tZuSf8jRlr8"
"[[ 3 HOURS ]] Complete Azure Data Factory - { End to End } Full Course","Analytics with Nags","3 hours 5 minutes 21 seconds","https://www.youtube.com/watch?v=9COKVzBvQyo"
