Title,Channel,Duration,URL
"Power BI Interview Questions- Introduction| Why I am creating videos on Job Questions and Answers","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",4 minutes 6 seconds,https://www.youtube.com/watch?v=vvFGAAbds1k
"Power BI Interview Questions- Your Introduction| What you need to cover as part of your introduction","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 53 seconds,https://www.youtube.com/watch?v=Dx2_2KrkMio
"Power BI Interview Questions- What Organization is looking for, in an individual- Beyond Power BI","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 16 seconds,https://www.youtube.com/watch?v=gTuvlnnAxjM
"Power BI Interview Questions- What is Power BI| Tell Something about Power BI","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",51 seconds,https://www.youtube.com/watch?v=lQhhkjqIdQg
"Power BI Interview Questions- What are the components/elements/parts of Power BI?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 34 seconds,https://www.youtube.com/watch?v=6O4chvRXWDc
"Power BI Interview Questions- What is Power BI Desktop| Tell Something about Power BI Desktop","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 52 seconds,https://www.youtube.com/watch?v=evTiRy4U8Ow
"Power BI Interview Questions- Why do we need Power BI Desktop| What is the use of  Power BI Desktop","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 34 seconds,https://www.youtube.com/watch?v=sd9VlW0SQKw
"Power BI Interview Questions- What is Power Query| What is Transform data in Power BI","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 30 seconds,https://www.youtube.com/watch?v=N2hsqP1IS9U
"Power BI Interview Questions- What is DAX|  What is Data Analysis Expressions","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 39 seconds,https://www.youtube.com/watch?v=jqePwg75UV8
"Calculated Column vs Measure in Power BI: Key Differences Explained | Power BI Interview/Job Prep","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",6 minutes 52 seconds,https://www.youtube.com/watch?v=JoHxzC0JHMU
"Power BI Interview Questions- What is the difference between Import, Direct Query, and Live mode?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",6 minutes 47 seconds,https://www.youtube.com/watch?v=934Wei0A4GU
"Power BI Interview Questions- What are the different types of visuals/charts used in Power BI?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 45 seconds,https://www.youtube.com/watch?v=gzHvS7wq4jA
"Power BI Interview Questions- How to do a multi-column sort on a visual in Power BI","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 9 seconds,https://www.youtube.com/watch?v=UTlobzOrQFU
"Power BI Interview Questions- What is conditional formatting in Power BI?| How color background/font","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",3 minutes 10 seconds,https://www.youtube.com/watch?v=JmodMtyKBVo
"Power BI Interview Questions- What are the three format styles in Power BI conditional formatting?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 57 seconds,https://www.youtube.com/watch?v=zlzql5EpqA8
"Power BI Interview Questions- When conditional formatting become unavailable(Fx icon) in Power BI?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 53 seconds,https://www.youtube.com/watch?v=vqs1ONp9atw
"Power BI Interview Questions- What is Interactions in Power BI? How to stop filtering across visuals","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",3 minutes 57 seconds,https://www.youtube.com/watch?v=wO1zD7E9_v8
"Power BI Interview Questions- What is Field Parameters? How to create a dynamic Axis using a slicer?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",4 minutes 14 seconds,https://www.youtube.com/watch?v=RblNR5yeF8Y
"Power BI Interview Questions- How to create Axis Slicer without using Field Parameters| Bookmarks","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",6 minutes 14 seconds,https://www.youtube.com/watch?v=Qxvkg7fZrhU
"Power BI Interview Questions- What is bookmarks in power bi? How to use bookmarks and buttons","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",4 minutes 20 seconds,https://www.youtube.com/watch?v=uQaXQvhMslA
"Power BI Interview Questions- How can we maintain/pass slicer values across bookmarks?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 14 seconds,https://www.youtube.com/watch?v=tmS7YH1OWjw
"Power BI Interview Questions- What is the difference between sumx and sum in power bi?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 49 seconds,https://www.youtube.com/watch?v=x4wMbFcTXIA
"Power BI Interview Questions- What is difference between calculate and calculatetable in Power BI?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",3 minutes 55 seconds,https://www.youtube.com/watch?v=P1M7ZWokzPI
"Power BI Interview Questions- What is the difference between Summarize and SummarizeColumns?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 6 seconds,https://www.youtube.com/watch?v=eTaNofP-_BI
"Power BI Interview Questions- Difference in filtering data in CALCULATE with and without FILTER?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",4 minutes 7 seconds,https://www.youtube.com/watch?v=KDcmzwgPvXQ
"Power BI Interview Questions- What is Order default sort order in DAX/power bi RankX function?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 18 seconds,https://www.youtube.com/watch?v=yP8RVuZ77Gg
"Power BI Interview Questions-Impact of extra visual column on RankX| Why Rank 1 when added city id","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 56 seconds,https://www.youtube.com/watch?v=t77bd57IVqk
"Power BI Interview Questions-What is the difference between skip and dense in Rank?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 29 seconds,https://www.youtube.com/watch?v=vkxVroOOTHY
"Power BI Interview Questions- A measure that will display the top 10 elements by Measure| TOPN","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 12 seconds,https://www.youtube.com/watch?v=lp_kTFFCaao
"Power BI Interview Questions- Why grand total does not match the sum of the row total?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 21 seconds,https://www.youtube.com/watch?v=YvZnva2C2vw
"Power BI Interview Questions- Why Date table is so important in Power BI| Why do we need date table?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 46 seconds,https://www.youtube.com/watch?v=9OPAQpFvwX0
"Power BI Interview Questions- What are some best practices related to Time Intelligence, Date Table?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 43 seconds,https://www.youtube.com/watch?v=2jc4psmPt4Y
"Power BI Interview Questions- What do mean by MTD, QTD, and YTD?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",53 seconds,https://www.youtube.com/watch?v=-ctlT1ihlVw
"Power BI Interview Questions-  Which functions can I use to get MTD, QTD, and YTD in Power BI?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 11 seconds,https://www.youtube.com/watch?v=rlX4EFaACaA
"Power BI Interview Questions- What date range DATESMTD will use on card visual without filter/slicer","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",3 minutes 45 seconds,https://www.youtube.com/watch?v=sb2tdYpB9wo
"Power BI Interview Questions- Minus 1-year using DATEADD, what date is expected for the first date","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 31 seconds,https://www.youtube.com/watch?v=6GOeJ9kxU1Y
"Power BI Interview Questions- How to get a year before date, and date not in table| without DATEADD?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",3 minutes 49 seconds,https://www.youtube.com/watch?v=oiTGYJcKVKc
"Power BI Interview Questions- Is DATESMTD Minus 1 Month Using DATEADD(LMTD) save as PREVIOUSMONTH?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",6 minutes,https://www.youtube.com/watch?v=kqrRavKK7JM
"Power BI Interview Questions- How to display a trend with single value selection| Disconnected Table","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",4 minutes 6 seconds,https://www.youtube.com/watch?v=XGD5RskFG08
"Power BI Interview Questions- How to sort the Month Year column correctly| What is Sort By Column","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 33 seconds,https://www.youtube.com/watch?v=lmkiFJllxgs
"Power BI Interview Questions- What type of schema preferred for Power BI modeling| Why Star Schema","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",2 minutes 8 seconds,https://www.youtube.com/watch?v=o6iCE4mk8JE
"Power BI Interview Questions- What is the RELATED function and why does not work sometimes?","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",1 minutes 46 seconds,https://www.youtube.com/watch?v=mh2Lx36cPY0
"Power BI Expertise Unveiled: Understanding RELATED vs RELATEDTABLE- Interview Question Series Part 2","Learn Microsoft Fabric, Power BI, SQL Amit Chandak",8 minutes 48 seconds,https://www.youtube.com/watch?v=pzB0OEmiERw
