Title,Channel,Duration,URL
"Power BI Complete Playlist   How to Navigate","Analytics with Nags",4 minutes 55 seconds,https://www.youtube.com/watch?v=h9hgkh-iraI
"How to do Power BI Installation - Power BI Tutorial (1/50)","Analytics with Nags",7 minutes 42 seconds,https://www.youtube.com/watch?v=T_bRcvmOMSM
"How to create your First Dashboard - Power BI Tutorial (2/50)","Analytics with Nags",8 minutes 58 seconds,https://www.youtube.com/watch?v=9JV6eHe3OIQ
"Power BI Tutorial (3/50) - Understanding more on Power Bi Desktop","Analytics with Nags",8 minutes 7 seconds,https://www.youtube.com/watch?v=QCRGdYsf8vs
"Power BI Tutorial (4/50) - What are all Datatypes","Analytics with Nags",9 minutes 27 seconds,https://www.youtube.com/watch?v=1tmaCLV284Q
"Power BI Tutorial (5/50) - How to do Basic Formatting","Analytics with Nags",8 minutes 17 seconds,https://www.youtube.com/watch?v=giWb_rpTGT0
"Power BI Tutorial (6/50) - How to connect various Data Sources","Analytics with Nags",10 minutes 17 seconds,https://www.youtube.com/watch?v=8rOiqzmdaOc
"Power BI Tutorial (7/50) - How to set Interactions between Visuals","Analytics with Nags",6 minutes 1 seconds,https://www.youtube.com/watch?v=un2i7yvaoaA
"Power BI Tutorial (8/50) - What are all different Types of Charts","Analytics with Nags",12 minutes 56 seconds,https://www.youtube.com/watch?v=t05tlCaJEOw
"Power BI Tutorial (9/50) - How to set Hierarchies and Drilldown","Analytics with Nags",6 minutes 25 seconds,https://www.youtube.com/watch?v=FwAu_4ZqZDs
"Power BI Tutorial (10/50) - How to do Drill through into Power BI Data","Analytics with Nags",9 minutes 50 seconds,https://www.youtube.com/watch?v=k1t7LoLg4-4
"Power BI Tutorial (14/50) - How to Create Custom Tooltip or Dynamic Tootip","Analytics with Nags",8 minutes 12 seconds,https://www.youtube.com/watch?v=dEf77pl1-2E
"Power BI Tutorial (21/50) - What is Custom Visuals","Analytics with Nags",11 minutes 16 seconds,https://www.youtube.com/watch?v=zue_bygNx7k
"Power BI Tutorial (25/50) - What Is Actions","Analytics with Nags",10 minutes 6 seconds,https://www.youtube.com/watch?v=TMQMd___qng
"Power BI Tutorial (15/50) - What is Power Query / Power Pivot / Power View","Analytics with Nags",9 minutes 55 seconds,https://www.youtube.com/watch?v=lfLAvUARle4
"How to Remove Top N rows in Power BI Desktop Tips and Tricks (1/100)","Analytics with Nags",3 minutes 54 seconds,https://www.youtube.com/watch?v=PyFQh8MmDWo
"Power BI Desktop Tips and Tricks (2/100) - How to Fill gaps in Data","Analytics with Nags",3 minutes 8 seconds,https://www.youtube.com/watch?v=rHgPbkoUE68
"Power BI Desktop Tips and Tricks (3/100) - How to split Column","Analytics with Nags",5 minutes 50 seconds,https://www.youtube.com/watch?v=ZV9vOFmorBA
"Power BI Desktop Tips and Tricks (4/100) - How to Derive a Column","Analytics with Nags",4 minutes 26 seconds,https://www.youtube.com/watch?v=ta2jIP4cxCI
"How To Remove/Delete/Reorder/Move Columns in Power BI Desktop Tips and Tricks (5/100)","Analytics with Nags",3 minutes 41 seconds,https://www.youtube.com/watch?v=dEC8g6KLuCg
"How to Append / Combine two datasets Power BI Desktop Tips and Tricks (6/100)","Analytics with Nags",8 minutes 54 seconds,https://www.youtube.com/watch?v=O79DReR6roI
"Power BI Tutorial (16/50) - Transforming Excel Data in Power Query Editor","Analytics with Nags",13 minutes 37 seconds,https://www.youtube.com/watch?v=YNqOXugr6K0
"Power BI Tutorial (17/50) - When to UNPIVOT Your Data in Power BI","Analytics with Nags",7 minutes 5 seconds,https://www.youtube.com/watch?v=nu19dyCzUUU
"How to Transform Date to Week in Power BI Desktop Tips and Tricks (8/100)","Analytics with Nags",6 minutes 21 seconds,https://www.youtube.com/watch?v=BwTYIpFixx4
"Power BI Desktop Tips and Tricks (9/100) - How to Order Month or Day or Week","Analytics with Nags",6 minutes 8 seconds,https://www.youtube.com/watch?v=dEs-ZWDXQWw
"Power BI Desktop Tips and Tricks (10/100) - How to Join tables in Power BI Merge","Analytics with Nags",8 minutes 26 seconds,https://www.youtube.com/watch?v=_lDkhgeruwU
"Power BI Desktop Tips and Tricks (11/100) - How to use Group By","Analytics with Nags",4 minutes 32 seconds,https://www.youtube.com/watch?v=LXKCBXlcwlM
